a52dec 0.8.0-2
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-jinja 1:3.1.6-1
python-jmespath 1.0.1-5
python-keyutils 0.6-11
python-lxml 6.0.0-2
python-mako 1.3.10-1
python-markdown 3.8.2-1
python-markupsafe 3.0.2-1
python-more-itertools 10.7.0-1
python-ordered-set 4.1.0-7
python-packaging 25.0-1
python-paramiko 3.5.1-1
python-platformdirs 4.3.6-2
python-pluggy 1.6.0-1
python-pyamdgpuinfo 2.1.7-1
python-pyamdgpuinfo-debug 2.1.7-1
python-pycosat 0.6.6-3
python-pycparser 2.22-3
python-pygments 2.19.2-1
python-pynacl 1.5.0-3
python-pyproject-hooks 1.2.0-3
python-pytest 1:8.4.1-1
python-pytest-cov 6.1.1-1
python-pytest-mock 3.14.0-2
python-resolvelib 1.2.0-2
python-ruamel-yaml 0.18.10-1
python-ruamel.yaml.clib 0.2.12-3
python-s3transfer 0.13.1-1
python-setuptools 1:80.9.0-1
python-six 1.17.0-1
python-tomli 2.0.1-5
python-tqdm 4.67.1-2
python-trove-classifiers 2025.5.9.12-1
python-typeguard 4.4.4-1
python-typing_extensions 4.14.1-1
python-urllib3 2.5.0-1
python-validate-pyproject 0.24.1-1
python-wheel 0.45.1-1
python-yaml 6.0.2-2
python-zstandard 0.23.0-3
python311 3.11.13-1
qca-qt6 2.3.10-2
qqc2-desktop-style 6.16.0-1
qt5-base 5.15.17+kde+r123-1
qt5-declarative 5.15.17+kde+r21-1
qt5-graphicaleffects 5.15.17-1
qt5-imageformats 5.15.17+kde+r2-1
qt5-quickcontrols 5.15.17-1
qt5-quickcontrols2 5.15.17+kde+r5-1
qt5-svg 5.15.17+kde+r5-1
qt5-translations 5.15.17-1
qt5-wayland 5.15.17+kde+r57-1
qt5-x11extras 5.15.17-1
qt5ct 1.9-1
qt6-5compat 6.9.1-1
qt6-base 6.9.1-5
qt6-declarative 6.9.1-2
qt6-multimedia 6.9.1-1
qt6-multimedia-ffmpeg 6.9.1-1
qt6-shadertools 6.9.1-1
qt6-speech 6.9.1-1
qt6-svg 6.9.1-1
qt6-translations 6.9.1-1
qt6-wayland 6.9.1-1
qt6ct 0.10-4
rav1e 0.7.1-1
raylib 5.5-1
re2 1:20240702-5
readline 8.3.001-1
reproc 14.2.5-2
reproc-debug 14.2.5-2
rhash 1.4.4-1
ripgrep 14.1.1-1
ripgrep-all 0.10.9-1
rofi-wayland 1.7.9.1-1
rpm-sequoia 1.9.0-1
rpm-tools 4.20.1-1
rtkit 0.13-3
rubberband 4.0.0-1
runc 1.3.0-1
rustup 1.28.2-3
sbc 2.0-2
sdbus-cpp 2.1.0-2
sdl12-compat 1.2.68-2
sdl2-compat 2.32.56-2
sdl2_image 2.8.8-1
sdl2_ttf 2.24.0-1
sdl3 3.2.18-1
sdl_ttf 2.0.11-7
seatd 0.9.1-1
sed 4.9-3
semver 7.7.2-1
serd 0.32.4-1
sfml 3.0.1-1
sfml2-debug 2.6.2-1
shaderc 2025.3-1
shadow 4.18.0-1
shared-mime-info 2.4-2
simdjson 1:3.13.0-1
slang 2.3.3-4
slurp 1.5.0-1
smbclient 2:4.22.3-1
snappy 1.2.2-2
sndio 1.10.0-1
sof-firmware 2025.05-1
solid 6.16.0-1
sonnet 6.16.0-1
sord 0.16.18-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-15
spdlog 1.15.3-1
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.321.0-1
spotify 1:1.2.63.394-1
sqlite 3.50.3-1
sratom 0.6.18-1
srt 1.5.4-1
startup-notification 0.12-8
steam 1.0.0.82-2
sudo 1.9.17.p1-1
svt-av1 3.0.2-1
swappy 1.5.1-2
swaylock-effects-git r470.496059a-1
swaylock-effects-git-debug r470.496059a-1
swww 0.10.3-1
syndication 6.16.0-1
syntax-highlighting 6.16.0-1
systemd 257.7-1
systemd-libs 257.7-1
systemd-sysvcompat 257.7-1
taglib 2.1.1-1
talloc 2.4.3-1
tar 1.35-2
tcl 8.6.16-1
tcsh 6.24.16-1
tdb 1.4.13-1
teams 1.5.00.23861-1
tevent 1:0.17.0-1
texinfo 7.2-1
tinysparql 3.9.2-2
tomlplusplus 3.4.0-1
tpm2-tss 4.1.3-1
tree 2.2.1-1
tree-sitter 0.25.8-1
tree-sitter-c 0.24.1-1
tree-sitter-lua 0.4.0-1
tree-sitter-markdown 0.5.0-1
tree-sitter-query 0.6.2-1
